auction max stop today
41.03 11.56 12.69 11.50
-- -- -- --
-- -- -- --
-- -- -- --
19.33 14.46 15.92 14.40
-- -- 4.08 --
2.10 15.51 16.95 15.40
31.70 4.31 4.76 4.30
355.54 1.90 2.09 1.89
45.80 6.55 7.23 6.55
6.92 7.23 7.96 7.18
42.48 8.55 9.37 8.51
143.00 6.56 7.22 6.55
38.98 3.71 4.05 3.67
103.41 8.24 8.76 7.87
65.95 7.93 8.62 7.78
45.98 5.94 6.59 5.93
8.44 9.38 10.18 9.24
148.10 1.99 2.19 1.98
23.60 5.01 5.49 4.98
67.77 4.31 4.76 4.31
27.91 7.17 7.61 6.86
38.69 4.60 5.04 4.52
223.72 5.94 6.56 5.94
57.10 9.14 10.00 8.93
267.57 25.38 27.95 25.35
155.82 14.06 14.92 13.40
10.85 3.53 3.85 3.49
23.28 4.04 4.24 3.84
67.45 35.43 38.75 35.05
13.83 12.08 13.37 12.06
4.76 47.50 51.57 46.88
81.22 4.16 4.46 4.03
112.80 14.81 16.41 14.76
172.88 6.85 7.48 6.79
7.10 7.60 8.10 7.33
14.27 4.05 4.30 3.91
3.97 26.55 29.13 26.55
5.04 11.88 13.05 11.79
6.06 14.43 15.11 13.88
32.74 17.10 18.49 16.60
17.57 5.28 5.72 5.17
6.55 8.90 9.79 8.83
16.72 9.15 9.61 8.75
29.88 10.95 12.19 10.91
25.48 14.74 16.18 14.52
26.79 15.18 16.17 14.61
35.82 3.74 4.16 3.72
42.44 12.13 12.82 11.61
-- -- -- --
36.24 15.60 16.66 15.14
11.17 5.07 5.54 5.04
65.64 7.80 8.59 7.80
40.40 3.83 4.02 3.63
6.79 9.07 9.98 9.03
3.33 12.78 13.42 12.30
42.62 17.60 18.94 17.00
19.10 9.10 10.04 9.06
14.29 1.22 1.27 1.19
91.95 7.98 8.10 7.37
39.71 5.43 6.09 5.43
17.19 3.79 4.18 3.78
17.35 4.66 5.01 4.52
52.89 14.15 14.91 13.16
48.18 10.38 10.46 9.38
13.21 11.42 11.42 10.46
10.14 5.44 5.91 5.35
3.60 18.52 20.22 18.31
50.46 3.55 3.63 3.30
23.28 34.08 35.94 32.40
83.25 6.35 6.64 5.93
-- -- -- --
14.39 22.90 25.51 22.75
37.99 8.56 9.41 8.50
20.35 6.66 7.35 6.66
4.35 4.73 4.74 4.49
-- -- -- --
43.72 16.95 18.91 16.68
44.91 8.49 9.12 8.27
12.05 5.41 5.76 5.22
28.59 7.88 8.34 7.50
2.32 13.35 14.53 13.11
6.19 6.66 7.24 6.58
4.64 7.90 8.59 7.75
29.52 13.25 14.62 13.17
3.61 9.09 9.98 9.09
-- -- -- --
43.32 3.50 3.72 3.36
82.91 30.00 31.44 28.30
61.47 6.28 6.51 5.81
56.51 4.55 4.83 4.33
15.62 8.74 9.67 8.63
54.50 3.98 4.32 3.89
125.38 11.75 13.13 11.65
46.71 5.24 5.58 5.02
47.63 11.59 12.67 11.53
108.54 5.89 5.89 5.40
10.59 8.77 9.54 8.60
17.87 8.74 9.37 8.46
60.37 7.78 8.59 7.64
12.65 9.45 10.46 9.40
18.91 4.36 4.80 4.30
11.76 25.90 28.59 25.75
25.14 8.50 9.36 8.30
9.08 18.20 20.01 18.19
18.75 3.92 4.25 3.82
41.38 5.03 5.51 4.93
22.87 8.70 9.53 8.65
27.38 9.09 10.01 9.05
9.80 5.70 6.18 5.62
8.22 3.88 4.18 3.79
16.14 9.66 10.57 9.50
8.93 13.80 14.63 13.20
23.23 4.62 5.05 4.54
38.37 21.95 21.95 19.88
2.98 37.49 39.75 35.96
23.53 7.64 8.22 7.38
15.72 9.28 10.02 8.95
13.51 14.10 14.85 13.45
1.15 17.30 19.04 17.30
14.40 16.80 18.47 16.78
